sampleMetadata	class	batch	injectionOrder	sampleType
X20180906_501P_pos_030	Bio	pos	30	sample
X20180906_502P_pos_048	Bio	pos	48	sample
X20180906_503P_pos_036	Bio	pos	36	sample
X20180906_506P_pos_057	Bio	pos	57	sample
X20180906_508P_pos_058	Bio	pos	58	sample
X20180906_509P_pos_051	Bio	pos	51	sample
X20180906_513P_pos_017	Bio	pos	17	sample
X20180906_517P_pos_040	Bio	pos	40	sample
X20180906_518P_pos_027	Bio	pos	27	sample
X20180906_521P_pos_065	Bio	pos	65	sample
X20180906_527P_pos_041	Bio	pos	41	sample
X20180906_528P_pos_064	Bio	pos	64	sample
X20180906_529P_pos_034	Bio	pos	34	sample
X20180906_531P_pos_019	Bio	pos	19	sample
X20180906_616P_pos_031	Bio	pos	31	sample
X20180906_617P_pos_015	Bio	pos	15	sample
X20180906_620P_pos_055	Bio	pos	55	sample
X20180906_621P_pos_043	Bio	pos	43	sample
X20180906_622P_pos_063	Bio	pos	63	sample
X20180906_623P_pos_049	Bio	pos	49	sample
X20180906_625P_pos_037	Bio	pos	37	sample
X20180906_627P_pos_060	Bio	pos	60	sample
X20180906_628P_pos_016	Bio	pos	16	sample
X20180906_629P_pos_052	Bio	pos	52	sample
X20180906_630P_pos_029	Bio	pos	29	sample
X20180906_631P_pos_022	Bio	pos	22	sample
X20180906_632P_pos_039	Bio	pos	39	sample
X20180906_633P_pos_024	Bio	pos	24	sample
X20180906_634P_pos_047	Bio	pos	47	sample
X20180906_818P_pos_035	Bio	pos	35	sample
X20180906_819P_pos_023	Bio	pos	23	sample
X20180906_824P_pos_033	Bio	pos	33	sample
X20180906_825P_pos_042	Bio	pos	42	sample
X20180906_826P_pos_059	Bio	pos	59	sample
X20180906_827P_pos_021	Bio	pos	21	sample
X20180906_836P_pos_046	Bio	pos	46	sample
X20180906_841P_pos_061	Bio	pos	61	sample
X20180906_848P_pos_025	Bio	pos	25	sample
X20180906_849P_pos_028	Bio	pos	28	sample
X20180906_854P_pos_018	Bio	pos	18	sample
X20180906_859P_pos_053	Bio	pos	53	sample
X20180906_862P_pos_054	Bio	pos	54	sample
X20180906_Blanc.EI_067	Blanc	pos	67	blank
X20180906_Blanc.EI_pos_001	Blanc	pos	1	blank
X20180906_Blanc.EI_pos_002	Blanc	pos	2	blank
X20180906_QC.EI.dil.1_pos_012	QC	pos	12	pool1
X20180906_QC.EI.dil.1_pos_013	QC	pos	13	pool1
X20180906_QC.EI.dil.1_pos_014	QC	pos	14	pool1
X20180906_QC.EI.dil.2_pos_009	QC	pos	9	pool2
X20180906_QC.EI.dil.2_pos_010	QC	pos	10	pool2
X20180906_QC.EI.dil.2_pos_011	QC	pos	11	pool2
X20180906_QC.EI.dil.4_pos_006	QC	pos	6	pool4
X20180906_QC.EI.dil.4_pos_007	QC	pos	7	pool4
X20180906_QC.EI.dil.4_pos_008	QC	pos	8	pool4
X20180906_QC.EI.dil.8_pos_003	QC	pos	3	pool8
X20180906_QC.EI.dil.8_pos_004	QC	pos	4	pool8
X20180906_QC.EI.dil.8_pos_005	QC	pos	5	pool8
X20180906_QC.EI_pos_020	QC	pos	20	pool
X20180906_QC.EI_pos_026	QC	pos	26	pool
X20180906_QC.EI_pos_032	QC	pos	32	pool
X20180906_QC.EI_pos_038	QC	pos	38	pool
X20180906_QC.EI_pos_044	QC	pos	44	pool
X20180906_QC.EI_pos_050	QC	pos	50	pool
X20180906_QC.EI_pos_056	QC	pos	56	pool
X20180906_QC.EI_pos_062	QC	pos	62	pool
X20180906_QC.EI_pos_066	QC	pos	66	pool
