sampleMetadata	gene	mouse_nb	sex	Sample.name	supp_Condition	supp_Bio.Rep	supp_sample name
X501f	MX2	501	F	abundance_QE24178MAR.mgf	mx2	40	501
X502m	MX2	502	M	abundance_QE24212MAR.mgf	mx2	31	502
X503m	MX2	503	M	abundance_QE24190MAR.mgf	mx2	33	503
X506m	MX2	506	M	abundance_QE24228MAR.mgf	mx2	30	506
X508f	MX2	508	F	abundance_QE24232MAR.mgf	mx2	36	508
X509f	MX2	509	F	abundance_QE24216MAR.mgf	mx2	37	509
X513m	MX2	513	M	abundance_QE24152MAR.mgf	mx2	34	513
X517f	MX2	517	F	abundance_QE24198MAR.mgf	mx2	38	517
X518f	MX2	518	F	abundance_QE24172MAR.mgf	mx2	41	518
X521f	MX2	521	F	abundance_QE24246MAR.mgf	mx2	35	521
X527m	MX2	527	M	abundance_QE24200MAR.mgf	mx2	32	527
X528m	MX2	528	M	abundance_QE24244MAR.mgf	mx2	29	528
X529f	MX2	529	F	abundance_QE24186MAR.mgf	mx2	39	529
X531f	MX2	531	F	abundance_QE24156MAR.mgf	mx2	42	531
W616f	WT	616	F	abundance_QE24180MAR.mgf	ctrl	13	616
W617f	WT	617	F	abundance_QE24148MAR.mgf	ctrl	15	617
W620f	WT	620	F	abundance_QE24226MAR.mgf	ctrl	9	620
W621f	WT	621	F	abundance_QE24204MAR.mgf	ctrl	11	621
W622f	WT	622	F	abundance_QE24240MAR.mgf	ctrl	8	622
W623f	WT	623	F	abundance_QE24214MAR.mgf	ctrl	10	623
W625m	WT	625	M	abundance_QE24192MAR.mgf	ctrl	4	625
W627m	WT	627	M	abundance_QE24236MAR.mgf	ctrl	1	627
W628m	WT	628	M	abundance_QE24150MAR.mgf	ctrl	7	628
W629m	WT	629	M	abundance_QE24220MAR.mgf	ctrl	2	629
W630m	WT	630	M	abundance_QE24176MAR.mgf	ctrl	5	630
W631m	WT	631	M	abundance_QE24162MAR.mgf	ctrl	6	631
W632f	WT	632	F	abundance_QE24196MAR.mgf	ctrl	12	632
W633f	WT	633	F	abundance_QE24166MAR.mgf	ctrl	14	633
W634m	WT	634	M	abundance_QE24210MAR.mgf	ctrl	3	634
L818f	LAT	818	F	abundance_QE24188MAR.mgf	lat	26	818
L819f	LAT	819	F	abundance_QE24164MAR.mgf	lat	27	819
L824m	LAT	824	M	abundance_QE24174MAR.mgf	lat	20	824
L825m	LAT	825	M	abundance_QE24184MAR.mgf	lat	19	825
L826m	LAT	826	M	abundance_QE24222MAR.mgf	lat	17	826
L827m	LAT	827	M	abundance_QE24160MAR.mgf	lat	22	827
L836f	LAT	836	F	abundance_QE24208MAR.mgf	lat	25	836
L841f	LAT	841	F	abundance_QE24238MAR.mgf	lat	23	841
L848m	LAT	848	M	abundance_QE24234MAR.mgf	lat	16	848
L849m	LAT	849	M	abundance_QE24168MAR.mgf	lat	21	849
L854f	LAT	854	F	abundance_QE24154MAR.mgf	lat	28	854
L859m	LAT	859	M	abundance_QE24202MAR.mgf	lat	18	859
L862f	LAT	862	F	abundance_QE24224MAR.mgf	lat	24	862
